OBJECTID,votdst,NAME,SUM_VOTERS,Shape_Length,Shape_Area
2276,2083,SEA 43-2083,450,7804.85009371218,2535865.6905643
2277,2084,SEA 43-2084,721,7822.56715970435,2055786.3656204
2278,2088,SEA 43-2088,784,6721.14567006904,1946388.896944
2279,2089,SEA 43-2089,241,4062.03433659449,694909.373223268
2280,2104,SEA 43-2104,400,11040.8049447773,1991249.19721295
2281,2105,SEA 43-2105,787,6533.53758490746,2102431.25580102
2282,2109,SEA 43-2109,579,4922.6189249064,608564.691142778
2283,2110,SEA 43-2110,511,4267.73182056216,1069849.30380433
2284,2113,SEA 43-2113,513,4987.25329970211,1102815.23790281
2285,2115,SEA 43-2115,289,7872.87289364138,3032433.62883081
2286,2237,SEA 43-2237,637,6897.09273178131,1871103.10386198
2287,2238,SEA 43-2238,548,5584.0965168607,1505709.81208683
2288,2239,SEA 43-2239,606,6929.49938717646,2202802.54357331
2289,2541,SEA 43-2541,324,2297.2803113231,252813.500144166
2290,2542,SEA 43-2542,652,3354.33029249902,691391.793492045
2291,2543,SEA 43-2543,392,2313.17483874234,265693.98400365
2292,2544,SEA 43-2544,789,5481.6241160376,1765767.84959646
2293,2545,SEA 43-2545,717,3536.92323937421,642389.110275052
2294,2546,SEA 43-2546,381,2311.84637227471,265163.101642758
2295,2547,SEA 43-2547,428,2386.26773262694,277947.32713673
2296,2549,SEA 43-2549,755,4339.23603950338,784927.048268693
2297,2550,SEA 43-2550,443,2897.41052636094,430403.206936361
2298,2850,SEA 43-2850,407,3770.42255052881,687568.088188854
2299,2852,SEA 43-2852,572,2998.83232967769,442046.24941605
2300,2853,SEA 43-2853,457,2514.51948470546,346431.934209832
2301,2862,SEA 43-2862,593,4595.66551346336,903664.633863667
2302,2928,SEA 43-2928,705,4435.30779488059,581250.786680012
2303,2987,SEA 43-2987,464,3803.35242840253,770191.253999701
2304,3230,SEA 43-3230,788,6663.63533048911,1973224.07588915
2305,3262,SEA 43-3262,330,3969.75156059671,877515.590510532
2306,3320,SEA 43-3320,482,4151.88688184042,673380.862383537
2307,3424,SEA 43-3424,454,6335.12855470148,1084460.39710215
2308,3497,SEA 43-3497,652,11047.3412017421,3707292.65961466
2309,3570,SEA 43-3570,587,3820.32560452908,898915.916763647
2310,3571,SEA 43-3571,256,4677.15183257571,857660.502119682
2311,3595,SEA 43-3595,759,3597.61377707524,655294.097073947
2312,3628,SEA 43-3628,588,5360.06960117385,807673.598784395
2313,3665,SEA 43-3665,522,2769.67881389655,326556.154087911
2314,3685,SEA 43-3685,289,4916.08454011682,627689.459362724
2315,3690,SEA 43-3690,41,15196.1041433386,6033478.28449531
2316,3692,SEA 43-3692,9,2702.68479394117,397373.612527795
2317,3700,SEA 43-3700,750,3993.40696943976,530859.250650965
2318,3701,SEA 43-3701,731,7077.43903357031,1991399.9511263
2319,3719,SEA 43-3719,411,7436.74543316133,2908532.90344733
2320,3748,SEA 43-3748,689,3766.7591003974,866222.784744046
2321,3776,SEA 43-3776,528,2987.30925038349,547207.222544849
2322,3787,SEA 43-3787,228,3419.44212593871,541664.534952275
2323,3788,SEA 43-3788,408,5371.41306667711,785603.199243441
2324,3803,SEA 43-3803,462,3551.88189367952,623896.546329793
2325,3804,SEA 43-3804,514,2664.38637039573,381591.13244066
2326,3805,SEA 43-3805,431,4532.90900136337,1218284.7144414
2327,3807,SEA 43-3807,552,5471.1932362435,1709343.87507691
2328,3875,SEA 43-3875,341,3823.18221359088,909665.853516477
2329,3876,SEA 43-3876,656,4187.48384731869,974993.67078078
2330,3877,SEA 43-3877,401,3096.50911339041,538408.941498793
2331,3947,SEA 43-3947,474,3682.31869828264,496962.111485451
2332,3949,SEA 43-3949,393,2786.94249432499,486042.595336487
2333,3950,SEA 43-3950,590,6004.22954910997,2173119.64339707
2334,3951,SEA 43-3951,360,3398.90613994357,719983.942623088
2335,3952,SEA 43-3952,356,5028.6595200379,1049138.51944381
